campaign_id,date,channel,campaign_name,country,segment,impressions,clicks,conversions,spend,revenue
CAMP-00080,2024-07-23,social,Organic systemic encoding Social GE,Germany,new,11963,283,11,,939.86
CAMP-01345,2025-12-20,email,Fully-configurable cohesive open architecture Email IT,Italy,vip,19369,2792,84,907.95,8951.23
CAMP-00578,2025-12-26,search,Quality-focused stable encoding Search GE,Germany,new,22244,2341,46,694.57,4097.57
CAMP-01176,2024-11-03,email,Extended web-enabled attitude Email FR,France,new,46204,5268,214,2012.91,17898.45
CAMP-01488,2026-01-26,search,Customizable zero tolerance algorithm Search IT,Italy,new,64817,2426,55,723.06,5174.52
CAMP-00498,2025-01-31,display,Enhanced client-server software Display NE,Netherlands,vip,14963,15,0,,0.0
CAMP-04103,2024-08-26,email,Phased zero-defect knowledgebase Email SP,Spain,vip,26853,4660,213,608.71,20441.77
CAMP-01145,2024-06-08,search,Right-sized 24/7 adapter Search FR,France,new,32766,2108,16,2863.16,2118.51
CAMP-03735,2025-07-19,display,Phased well-modulated circuit Display GE,Germany,vip,30178,59,1,1895.46,80.69
CAMP-04238,2025-04-27,display,Up-sized 6thgeneration access Display NE,Netherlands,returning,31353,67,2,1321.59,164.89
CAMP-03244,2025-11-24,email,Synergistic coherent frame Email FR,France,new,7785,1499,23,1749.34,1868.39
CAMP-01236,2025-07-28,email,Implemented fault-tolerant service-desk Email GE,Germany,vip,57618,12573,333,971.1,29420.22
CAMP-04569,2024-05-31,social,Horizontal reciprocal attitude Social GE,Germany,returning,7364,308,6,3372.7,820.78
CAMP-04268,2026-01-19,search,Compatible empowering frame Search FR,France,new,46999,3711,128,1659.52,18203.44
CAMP-00625,2024-08-16,search,Devolved dynamic function Search SP,Spain,new,26084,3268,116,492.11,11333.21
CAMP-01630,2025-06-07,social,Universal clear-thinking array Social SP,Spain,new,16401,550,21,1487.7,1741.15
CAMP-00200,2024-05-22,email,Grass-roots motivating productivity Email IT,Italy,vip,6493,1151,38,696.15,4184.61
CAMP-03614,2024-06-04,search,Multi-layered user-facing architecture Search IT,Italy,returning,135236,9158,257,973.11,23489.35
CAMP-01989,2025-08-10,social,Decentralized zero tolerance success Social FR,France,vip,35811,1378,50,1715.77,5221.48
CAMP-02345,2024-09-25,email,Advanced disintermediate success Email FR,France,new,10767,1736,40,707.92,3834.35
CAMP-03264,2025-11-26,display,Object-based neutral knowledge user Display SP,Spain,vip,64054,143,4,2671.99,348.68
CAMP-01906,2024-06-30,display,Pre-emptive clear-thinking complexity Display GE,Germany,returning,17315,52,1,3628.62,142.98
CAMP-00766,2025-02-20,display,Stand-alone background structure Display NE,Netherlands,vip,49170,109,2,1324.54,277.44
CAMP-00804,2024-10-30,email,Ameliorated neutral neural-net Email GE,Germany,vip,9179,1521,29,1067.12,2944.59
CAMP-01502,2024-10-03,search,Re-engineered systematic implementation Search FR,France,new,40669,4886,189,706.18,22425.9
CAMP-01771,2026-04-12,display,Robust even-keeled attitude Display FR,France,vip,269509,465,22,936.46,2427.89
CAMP-00107,2025-06-14,social,Universal logistical array Social NE,Netherlands,returning,8472,289,6,653.02,552.82
CAMP-02965,2026-01-08,email,Multi-layered tangible parallelism Email IT,Italy,returning,5074,339,15,1490.47,1412.81
CAMP-00839,2025-05-08,email,Decentralized grid-enabled toolset Email NE,Netherlands,new,9298,1629,84,466.75,10076.93
CAMP-03972,2025-07-29,display,Visionary stable methodology Display GE,Germany,new,19240,62,1,716.08,149.59
CAMP-00706,2024-06-08,social,Front-line bottom-line task-force Social IT,Italy,vip,30999,1357,40,665.97,4964.26
CAMP-04151,2026-02-16,search,Secured discrete array Search FR,France,vip,83653,7888,246,786.19,28765.48
CAMP-03180,2024-11-21,social,Phased hybrid product Social GE,Germany,vip,94749,3789,149,1696.76,14751.92
CAMP-04777,2025-10-14,search,Enterprise-wide grid-enabled attitude Search GE,Germany,vip,199018,15347,420,1048.97,62237.49
CAMP-00229,2026-01-28,search,Reactive neutral contingency Search NE,Netherlands,vip,38673,1239,48,,5367.93
CAMP-03337,2026-02-28,social,Programmable neutral migration Social FR,France,returning,18624,756,17,,2399.28
CAMP-02269,2025-08-31,email,Horizontal 24hour projection Email NE,Netherlands,new,41678,4437,208,938.39,18505.65
CAMP-03853,2026-01-21,social,Re-contextualized holistic forecast Social SP,Spain,vip,3297,98,3,2426.62,399.37
CAMP-00502,2025-11-16,email,Customer-focused clear-thinking knowledgebase Email SP,Spain,vip,4436,1020,37,,5203.19
CAMP-03129,2026-01-20,social,Vision-oriented interactive circuit Social IT,,vip,6823,254,7,522.08,726.68
CAMP-03353,2025-07-13,social,Intuitive didactic system engine Social NE,Netherlands,returning,24168,817,19,673.56,1895.47
CAMP-04175,2025-04-04,search,Synchronized multi-tasking superstructure Search IT,Italy,returning,30174,3983,151,1434.91,14147.04
CAMP-01635,2026-03-27,search,Synergized fault-tolerant solution Search GE,Germany,new,21578,1557,77,911.83,10873.58
CAMP-01481,2024-08-17,social,Integrated grid-enabled system engine Social IT,Italy,vip,7228,167,4,1015.93,349.06
CAMP-02116,2026-03-19,search,Monitored dedicated pricing structure Search FR,France,returning,55600,1154,26,2190.17,2405.25
CAMP-04000,2025-03-31,search,Right-sized discrete open system Search NE,Netherlands,vip,94893,8871,351,696.56,38895.33
CAMP-00562,2025-04-03,social,Balanced 24/7 product Social SP,Spain,new,21862,916,25,1535.0,2923.44
CAMP-04199,2026-03-13,email,Multi-tiered eco-centric projection Email NE,Netherlands,vip,45219,10055,409,2566.37,47041.44
CAMP-03698,2024-08-10,email,Self-enabling hybrid customer loyalty Email IT,Italy,new,4611,740,22,1340.36,2780.12
CAMP-01745,2025-06-14,display,Integrated radical service-desk Display NE,Netherlands,new,31337,58,0,628.31,0.0
CAMP-00280,2026-05-16,display,Configurable transitional adapter Display FR,France,vip,36774,57,0,1895.92,0.0
CAMP-02267,2025-09-04,display,Decentralized neutral instruction set Display NE,Netherlands,new,34211,75,1,,114.33
CAMP-00158,2025-12-22,display,Synchronized didactic process improvement Display GE,Germany,vip,27398,58,1,897.03,114.68
CAMP-00539,2025-03-19,social,Profit-focused secondary flexibility Social SP,Spain,returning,8736,371,15,816.36,1655.15
CAMP-04115,2024-08-26,email,Distributed optimizing challenge Email SP,Spain,vip,24529,5073,157,1454.55,18350.84
CAMP-04458,2025-03-29,social,Innovative 24/7 hierarchy Social FR,,new,10299,490,11,1104.05,1065.38
CAMP-01651,2025-07-31,search,Expanded user-facing open architecture Search NE,Netherlands,vip,17588,1466,48,450.0,6407.35
CAMP-03151,2025-10-29,social,Robust tertiary concept Social IT,Italy,returning,20194,782,13,1704.26,1501.66
CAMP-00765,2025-06-28,search,Persistent empowering pricing structure Search IT,Italy,vip,58834,3505,192,1285.45,21554.47
CAMP-01865,2025-02-14,search,De-engineered clear-thinking process improvement Search NE,Netherlands,new,14323,1022,40,916.05,4216.76
CAMP-03486,2026-02-01,display,Stand-alone bottom-line help-desk Display FR,France,new,32741,128,4,552.87,485.32
CAMP-00732,2025-10-26,display,Secured full-range capacity Display IT,Italy,vip,41184,82,2,,215.44
CAMP-00085,2025-10-30,email,Sharable 5thgeneration budgetary management Email FR,France,new,13408,2447,62,1593.53,6915.36
CAMP-02581,2026-01-27,social,Total hybrid budgetary management Social GE,Germany,returning,7755,287,9,965.23,1337.21
CAMP-03208,2024-08-03,search,Realigned systematic support Search NE,Netherlands,vip,29081,2903,75,,9103.27
CAMP-02975,2025-12-05,social,Assimilated multimedia Local Area Network Social FR,France,new,45904,1694,3,970.9,326.16
CAMP-02697,2024-08-29,display,Organized system-worthy algorithm Display IT,Italy,new,25081,57,1,769.81,109.71
CAMP-01339,2025-01-28,display,Synergized zero administration approach Display IT,Italy,new,12007,30,1,639.82,82.82
CAMP-03903,2024-07-28,display,Object-based responsive application Display SP,Spain,new,29657,37,1,737.89,93.47
CAMP-00912,2025-11-23,search,Face-to-face multi-state installation Search GE,Germany,vip,26239,1710,61,1002.59,7486.31
CAMP-00030,2024-09-28,display,Face-to-face non-volatile protocol Display SP,Spain,new,108132,381,10,969.21,1428.05
CAMP-00678,2026-05-13,social,User-centric multi-tasking implementation Social SP,Spain,vip,21096,555,23,3105.4,1866.15
CAMP-04502,2025-08-18,search,Self-enabling secondary encoding Search IT,Italy,returning,25733,2004,81,886.24,8622.89
CAMP-03686,2025-12-26,email,Customer-focused multimedia solution Email FR,France,returning,10884,1693,45,1829.35,5554.74
CAMP-03742,2025-01-09,email,Triple-buffered executive product Email FR,France,new,8246,1603,57,582.63,4952.31
CAMP-01621,2024-06-08,search,Reactive logistical methodology Search IT,Italy,vip,83453,4635,128,623.9,17837.83
CAMP-00423,2025-07-18,email,Front-line static hardware Email IT,Italy,vip,47115,11632,373,816.49,36156.84
CAMP-01666,2025-02-02,social,Phased foreground service-desk Social GE,Germany,vip,20483,495,12,1065.44,972.16
CAMP-04990,2025-01-09,email,De-engineered needs-based middleware Email FR,France,returning,7362,1226,34,,5053.33
CAMP-02728,2026-04-08,email,Adaptive multimedia toolset Email GE,Germany,new,5617,1209,41,584.09,5865.4
CAMP-03194,2025-08-30,social,Switchable intangible interface Social SP,Spain,returning,10250,516,17,653.2,2545.96
CAMP-03969,2025-09-02,display,Inverse regional interface Display FR,France,vip,41563,88,2,1348.52,233.1
CAMP-00169,2025-08-15,social,Decentralized dedicated functionalities Social IT,Italy,vip,14151,746,18,2554.49,2044.64
CAMP-03835,2024-10-05,email,Implemented motivating data-warehouse Email NE,Netherlands,vip,13909,2318,82,650.32,7450.04
CAMP-03482,2024-11-17,display,Optional global firmware Display FR,France,new,35850,24,0,826.99,0.0
CAMP-03470,2024-09-19,search,Expanded dynamic website Search FR,,new,16177,1371,31,2960.93,3146.64
CAMP-00228,2025-01-08,social,Business-focused homogeneous task-force Social IT,Italy,new,13819,438,12,589.35,1744.46
CAMP-02655,2025-04-03,search,Customizable systematic policy Search IT,Italy,new,16628,1719,59,3130.29,5169.37
CAMP-00487,2025-05-29,display,Down-sized well-modulated definition Display NE,Netherlands,new,54205,110,3,737.9,390.88
CAMP-01695,2025-07-21,social,Cloned scalable Internet solution Social GE,Germany,returning,7073,334,4,1349.9,587.57
CAMP-01201,2024-08-08,search,Exclusive disintermediate structure Search FR,France,vip,39567,2862,103,1045.3,10013.66
CAMP-02686,2026-01-14,display,Configurable real-time contingency Display FR,France,new,103963,267,8,2629.17,865.37
CAMP-03173,2025-02-08,social,Enterprise-wide intermediate interface Social GE,Germany,vip,8736,322,12,2081.23,1245.33
CAMP-00024,2026-01-06,search,Decentralized multimedia open system Search FR,France,vip,47660,3804,143,550.11,19063.81
CAMP-03085,2025-07-13,display,Balanced fault-tolerant frame Display IT,Italy,new,42644,60,2,1336.87,282.38
CAMP-03131,2026-02-10,email,Implemented impactful moratorium Email IT,Italy,vip,40549,7382,263,817.88,38048.02
CAMP-02537,2025-06-23,email,Quality-focused well-modulated matrices Email NE,Netherlands,new,25854,5276,126,2443.21,14302.15
CAMP-02898,2025-07-08,email,Streamlined national implementation Email IT,Italy,returning,15589,2197,67,369.2,8986.89
CAMP-04841,2025-06-21,display,Advanced bottom-line info-mediaries Display IT,Italy,returning,65968,134,2,577.12,204.25
CAMP-02094,2025-05-31,search,Visionary non-volatile frame Search NE,Netherlands,vip,10390,784,29,1204.47,3838.62
CAMP-00240,2025-11-26,display,Vision-oriented interactive product Display IT,Italy,vip,13063,13,0,2783.7,0.0
CAMP-03572,2025-05-07,social,Future-proofed bottom-line help-desk Social IT,Italy,returning,15410,696,33,,3632.78
CAMP-03766,2025-01-16,search,Virtual web-enabled archive Search FR,France,new,128097,12406,490,594.35,65380.43
CAMP-02017,2024-08-29,search,Secured optimizing methodology Search NE,Netherlands,vip,26422,1235,49,688.58,6540.56
CAMP-04039,2024-10-03,search,Multi-tiered optimizing info-mediaries Search FR,,new,96868,8232,390,488.52,55770.64
CAMP-00298,2025-08-09,search,Innovative radical migration Search SP,Spain,vip,57731,4823,121,898.86,11352.58
CAMP-00249,2024-08-29,search,Synergistic interactive structure Search GE,Germany,new,10153,919,27,1527.66,3683.33
CAMP-02136,2025-06-03,display,Vision-oriented logistical data-warehouse Display NE,Netherlands,vip,27702,70,2,507.6,249.22
CAMP-00374,2024-11-03,search,Virtual foreground approach Search NE,Netherlands,vip,17756,1135,31,1101.16,2496.63
CAMP-00882,2025-02-07,social,Sharable reciprocal help-desk Social FR,France,vip,14841,937,40,760.53,3677.3
CAMP-02308,2024-12-17,social,Expanded directional pricing structure Social NE,Netherlands,new,9386,256,10,3112.8,884.52
CAMP-03888,2024-06-01,display,Synergized background attitude Display NE,Netherlands,new,54436,118,4,892.38,404.29
CAMP-04504,2025-05-23,search,Secured 3rdgeneration process improvement Search FR,France,returning,40617,2927,58,3772.48,5615.7
CAMP-02992,2024-07-11,display,Multi-lateral 4thgeneration secured line Display GE,Germany,new,63538,152,3,770.31,363.9
CAMP-00725,2026-02-26,search,Configurable full-range system engine Search GE,Germany,new,17332,722,19,964.8,1758.11
CAMP-02221,2024-09-08,search,Customizable needs-based forecast Search IT,Italy,new,9792,722,30,809.75,4151.94
CAMP-02218,2026-05-17,social,Inverse asynchronous data-warehouse Social FR,,returning,4315,298,8,1253.48,791.11
CAMP-01469,2025-07-28,email,Enterprise-wide discrete core Email GE,Germany,new,22844,3601,124,439.92,12303.05
CAMP-01593,2026-03-07,search,Programmable zero administration structure Search IT,Italy,vip,15091,1076,47,366.12,6879.1
CAMP-03952,2025-12-20,social,Organized attitude-oriented secured line Social IT,Italy,vip,8372,376,13,992.2,1497.62
CAMP-02446,2024-12-10,email,Polarized web-enabled archive Email IT,Italy,vip,10013,2369,68,2879.39,6397.16
CAMP-03092,2025-10-13,display,Extended systemic knowledgebase Display SP,Spain,new,57181,109,5,1824.52,704.37
CAMP-00928,2026-02-03,search,Public-key methodical time-frame Search FR,France,returning,66016,7497,341,1498.51,43397.76
CAMP-04580,2026-03-04,email,Team-oriented hybrid complexity Email GE,Germany,returning,11306,2448,54,1442.23,6931.29
CAMP-04653,2026-03-30,search,Pre-emptive fresh-thinking definition Search NE,Netherlands,new,44866,6139,203,674.06,22585.58
CAMP-00600,2026-03-07,display,Persistent attitude-oriented analyzer Display SP,Spain,returning,92719,165,3,563.4,347.22
CAMP-01393,2025-12-09,display,Open-source analyzing Graphical User Interface Display NE,Netherlands,returning,36787,76,1,629.4,109.71
CAMP-02228,2024-08-03,search,Customizable high-level Internet solution Search IT,Italy,new,54415,4327,90,1437.73,8039.33
CAMP-04177,2025-10-07,display,Multi-channeled directional moderator Display GE,Germany,vip,16865,52,2,1240.16,168.12
CAMP-01610,2026-03-04,email,Multi-layered intermediate data-warehouse Email FR,France,vip,62378,4281,62,2427.24,6664.69
CAMP-04291,2025-09-25,search,Multi-channeled motivating orchestration Search IT,Italy,returning,32508,1889,55,1267.45,7247.29
CAMP-02877,2025-11-09,social,Profound contextually-based hub Social FR,France,vip,37763,1204,34,1279.23,3565.46
CAMP-03289,2025-06-27,search,Enterprise-wide dedicated monitoring Search SP,,vip,8623,1051,25,861.22,3597.54
CAMP-02143,2025-02-28,email,De-engineered full-range productivity Email NE,Netherlands,vip,50078,6403,207,510.66,30779.45
CAMP-00472,2024-10-31,social,Horizontal reciprocal attitude Social GE,Germany,returning,27609,1349,27,1413.17,3815.42
CAMP-01245,2026-04-19,social,User-centric holistic groupware Social GE,Germany,new,6641,395,19,1388.18,2075.21
CAMP-03691,2025-05-25,display,Synchronized national groupware Display FR,France,vip,96370,234,7,524.6,1021.16
CAMP-04222,2024-08-18,social,Seamless composite solution Social FR,France,returning,37354,1465,35,1626.72,2918.64
CAMP-01074,2025-01-07,social,Distributed optimizing intranet Social FR,France,returning,5678,255,7,382.65,602.2
CAMP-01045,2024-09-27,email,Optional responsive standardization Email NE,Netherlands,vip,3061,888,28,1392.55,2367.2
CAMP-01715,2025-07-23,display,Front-line optimal hub Display FR,France,new,25690,85,2,1704.59,200.2
CAMP-04041,2025-03-31,social,Monitored encompassing utilization Social SP,Spain,new,6241,248,6,5825.16,697.53
CAMP-04779,2025-06-27,display,Organic scalable moratorium Display NE,Netherlands,vip,25668,45,1,2154.76,97.08
CAMP-01035,2024-12-13,social,Front-line 3rdgeneration contingency Social IT,Italy,new,6921,369,9,2621.9,1025.72
CAMP-04418,2024-12-17,search,Self-enabling 24hour utilization Search SP,Spain,vip,29022,2712,80,679.94,8071.39
CAMP-01753,2025-08-04,display,Synergized fault-tolerant architecture Display GE,Germany,vip,22866,49,1,1159.52,94.32
CAMP-03650,2025-12-01,search,Mandatory motivating Internet solution Search FR,France,new,210944,21246,269,1587.77,40295.65
CAMP-04809,2024-08-21,social,Ergonomic context-sensitive budgetary management Social NE,Netherlands,new,5664,343,15,993.76,1549.12
CAMP-01555,2024-11-19,email,Mandatory zero administration utilization Email GE,Germany,vip,7067,1561,37,488.43,4192.6
CAMP-04196,2024-07-30,search,Down-sized background open system Search GE,Germany,new,9031,1030,32,2559.97,3101.32
CAMP-02987,2026-04-21,display,Mandatory user-facing model Display NE,Netherlands,vip,22827,72,2,1829.62,298.63
CAMP-02722,2025-12-18,display,Managed hybrid leverage Display IT,Italy,vip,35221,89,2,5688.63,262.66
CAMP-00830,2024-11-17,email,Monitored non-volatile firmware Email IT,Italy,new,29183,7629,209,4919.62,24454.25
CAMP-01096,2025-01-08,search,Cloned content-based algorithm Search SP,Spain,new,7482,464,16,1304.17,2127.6
CAMP-00427,2026-04-25,search,Robust object-oriented infrastructure Search IT,Italy,vip,27936,2338,89,651.79,9090.36
CAMP-02146,2025-04-28,display,Business-focused bottom-line Graphical User Interface Display IT,Italy,vip,34529,73,3,2679.69,357.7
CAMP-03136,2025-10-16,email,Vision-oriented explicit contingency Email IT,Italy,new,13484,4142,155,285.17,16524.15
CAMP-04161,2025-12-25,search,Robust mobile productivity Search SP,Spain,returning,29427,2517,87,1257.36,10470.1
CAMP-04065,2026-02-09,email,Programmable client-server portal Email GE,Germany,returning,103904,29059,887,1207.23,88832.0
CAMP-04343,2026-03-05,display,Front-line holistic workforce Display SP,Spain,returning,128266,217,4,1621.59,414.94
CAMP-04952,2025-01-21,social,Versatile eco-centric application Social NE,Netherlands,returning,18299,1052,29,1670.45,4314.91
CAMP-03581,2024-09-25,social,Business-focused bottom-line architecture Social FR,,new,18477,801,27,726.85,3132.44
CAMP-04231,2025-12-27,display,Face-to-face high-level emulation Display SP,Spain,new,15220,32,0,799.85,0.0
CAMP-02663,2025-04-26,search,Front-line bi-directional archive Search NE,Netherlands,returning,41382,1852,64,566.75,6426.61
CAMP-02706,2026-03-21,email,Quality-focused high-level infrastructure Email NE,Netherlands,new,6959,2011,46,1330.55,6775.32
CAMP-01324,2024-12-15,search,Persevering stable workforce Search IT,Italy,new,7454,569,14,832.06,1223.4
CAMP-04130,2025-05-13,email,Synchronized methodical Internet solution Email GE,Germany,new,12330,1454,41,1442.31,5798.38
CAMP-03985,2024-07-28,email,Managed responsive definition Email NE,Netherlands,returning,3563,776,38,519.75,5457.54
CAMP-04826,2025-02-28,social,Compatible optimal concept Social IT,Italy,new,6878,421,11,,1081.25
CAMP-04460,2026-02-06,search,Diverse contextually-based knowledgebase Search IT,Italy,vip,23992,2115,3,1810.15,305.34
CAMP-02884,2026-03-16,social,Programmable impactful throughput Social IT,Italy,vip,8547,413,14,794.83,1813.73
CAMP-02118,2024-06-28,display,Persistent global paradigm Display SP,Spain,vip,179836,245,8,3610.37,754.94
CAMP-00654,2025-06-09,search,Triple-buffered zero-defect conglomeration Search SP,Spain,returning,29929,2954,70,1143.62,7687.99
CAMP-04437,2025-12-26,social,Right-sized client-server portal Social GE,Germany,new,51298,2062,29,926.35,4289.92
CAMP-01019,2024-11-16,display,Upgradable zero-defect interface Display SP,Spain,new,43564,103,2,,216.32
CAMP-00089,2025-09-24,email,Universal attitude-oriented knowledgebase Email IT,Italy,returning,20989,5329,108,,9670.97
CAMP-01130,2024-05-27,email,Monitored hybrid middleware Email FR,France,new,24704,3419,80,585.43,9006.73
CAMP-03774,2026-03-02,search,Fundamental secondary portal Search IT,Italy,vip,26846,1738,42,503.42,5604.53
CAMP-00009,2024-06-24,search,Profit-focused global policy Search FR,France,new,33106,2409,36,712.01,4968.42
CAMP-01887,2026-02-02,search,Ergonomic encompassing synergy Search NE,Netherlands,returning,17725,1661,74,1694.08,7548.99
CAMP-01663,2025-01-28,search,Extended context-sensitive system engine Search GE,Germany,vip,34259,4294,139,662.18,12036.67
CAMP-03911,2025-02-17,search,Horizontal user-facing frame Search NE,Netherlands,new,20459,1580,37,1062.56,3722.11
CAMP-00682,2026-04-22,search,Advanced full-range secured line Search FR,,returning,59084,8648,268,661.81,28568.41
CAMP-03774,2026-03-02,search,Fundamental secondary portal Search IT,Italy,vip,26846,1738,42,503.42,5604.53
CAMP-03659,2025-04-13,search,Fundamental bandwidth-monitored knowledgebase Search FR,France,vip,37710,5209,135,,14705.43
CAMP-00145,2025-05-30,search,Extended solution-oriented Graphical User Interface Search FR,France,new,27206,2933,56,1586.94,5629.14
CAMP-00995,2025-04-23,social,Triple-buffered zero-defect focus group Social IT,Italy,new,2632,129,3,2256.28,339.1
CAMP-03653,2025-11-12,social,Open-source zero-defect secured line Social FR,France,vip,10612,556,10,1093.13,880.72
CAMP-01742,2025-11-30,search,Cross-platform analyzing attitude Search GE,Germany,returning,31264,3101,111,547.53,15649.12
CAMP-03341,2025-01-02,email,Proactive asynchronous implementation Email GE,Germany,vip,11596,1500,40,2562.92,4409.39
CAMP-03836,2024-08-25,social,Monitored 4thgeneration solution Social NE,Netherlands,returning,7504,307,10,2619.62,860.32
CAMP-02742,2024-06-05,display,Multi-tiered exuding installation Display IT,Italy,vip,33735,70,2,1155.44,175.56
CAMP-00152,2025-02-23,email,Integrated asymmetric software Email SP,Spain,vip,9619,2005,92,2813.82,11642.84
CAMP-01671,2025-08-29,display,Re-engineered 24/7 moratorium Display NE,Netherlands,new,198153,512,3,781.21,432.25
CAMP-03918,2025-09-12,search,Optimized national approach Search FR,France,returning,49242,4480,210,,25159.15
CAMP-01832,2025-02-25,social,Fully-configurable impactful open architecture Social NE,Netherlands,vip,4382,244,10,,1016.89
CAMP-00241,2025-01-09,social,Front-line systematic access Social IT,Italy,vip,8541,206,9,2010.0,1110.28
CAMP-00849,2025-08-30,email,Synchronized executive collaboration Email NE,Netherlands,new,19938,2830,41,1005.32,5049.71
CAMP-02173,2025-05-07,social,Multi-tiered reciprocal open architecture Social IT,Italy,vip,9206,659,16,3000.62,1659.28
CAMP-01882,2025-11-12,email,Realigned optimizing success Email FR,France,vip,8238,1913,28,1270.45,3110.08
CAMP-00857,2025-07-25,display,User-friendly content-based emulation Display FR,France,new,107029,270,7,1268.86,952.9
CAMP-03356,2025-11-28,email,Cross-group grid-enabled paradigm Email GE,Germany,new,6544,1303,10,1827.57,1109.78
CAMP-01414,2025-04-06,display,Customer-focused leadingedge leverage Display FR,France,new,29739,52,1,491.96,139.39
CAMP-00965,2025-01-24,social,Horizontal stable framework Social IT,Italy,new,4530,151,5,1812.86,556.83
CAMP-01418,2025-09-21,social,Optional attitude-oriented open architecture Social IT,Italy,returning,4237,141,4,394.41,445.76
CAMP-02750,2025-04-01,display,Universal disintermediate pricing structure Display FR,France,new,76510,165,5,1520.64,414.91
CAMP-00458,2025-10-30,display,Assimilated actuating policy Display SP,Spain,new,33931,42,0,1805.35,0.0
CAMP-01104,2024-10-08,search,Organized asymmetric capability Search NE,Netherlands,new,66942,3780,124,1279.91,13523.13
CAMP-01437,2024-09-12,display,Monitored human-resource info-mediaries Display NE,Netherlands,vip,13418,30,0,793.72,0.0
CAMP-04760,2026-05-06,email,Robust empowering capability Email GE,Germany,returning,2853,681,21,346.26,2628.61
CAMP-04085,2024-08-03,search,Triple-buffered logistical support Search SP,Spain,vip,337300,34932,639,692.03,87584.87
CAMP-01591,2025-07-28,social,User-friendly solution-oriented firmware Social NE,Netherlands,new,28889,1326,18,1389.88,1770.81
CAMP-03387,2025-02-13,social,Inverse exuding firmware Social SP,Spain,new,18272,641,18,883.76,1452.82
CAMP-00466,2024-05-19,social,Persevering zero administration functionalities Social NE,Netherlands,new,8126,266,3,1118.28,248.18
CAMP-02674,2025-06-02,search,Function-based dedicated leverage Search NE,Netherlands,new,74975,7499,166,2313.37,19349.0
CAMP-03258,2026-05-09,search,Distributed intermediate approach Search FR,France,vip,186173,17608,790,1851.76,67755.71
CAMP-04294,2025-05-19,display,Persevering homogeneous contingency Display FR,France,returning,35600,84,2,3715.38,292.02
